@relation features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
462,117,3,0,0,3,1,14,0,0,0,?
466,1972,2,4,0,2,0,13,0,0,0,?
461,1431,0,0,0,0,0,7,0,2,0,?
461,740,0,11,0,0,0,8,0,0,0,?
460,61,2,10,1,0,0,7,0,1,0,?
460,1495,0,1,0,0,0,5,0,1,0,?
458,1958,1,1,0,0,0,11,0,0,0,?
456,449,0,3,0,0,0,2,0,0,0,?
455,564,1,6,2,2,1,19,0,0,0,?
454,13,0,0,0,0,0,0,0,0,0,?
453,776,0,1,0,0,0,6,0,1,0,?
452,168,1,4,1,0,0,12,0,0,0,?
453,670,0,2,0,0,0,2,2,0,1,?
468,281,0,13,0,0,0,9,0,1,0,?
450,1456,0,8,0,2,0,11,0,0,0,?
450,307,2,6,1,0,0,11,0,1,0,?
450,300,0,1,0,0,0,3,1,0,0,?
450,488,1,4,0,1,0,11,0,2,0,?
450,1171,0,14,0,0,0,10,0,0,0,?
448,1162,0,1,1,0,0,9,0,1,0,?
447,1964,3,0,2,1,0,13,1,2,0,?
447,984,1,5,1,0,0,6,0,0,0,?
446,305,2,6,1,0,0,11,0,0,0,?
445,98,0,6,0,1,0,10,0,1,0,?
445,874,0,16,0,0,0,10,1,1,0,?
439,1134,1,0,1,0,0,7,1,1,0,?
445,681,4,8,2,0,0,12,0,0,0,?
455,89,0,6,0,0,0,3,0,0,0,?
443,355,1,1,0,0,0,10,0,0,0,?
441,1923,0,2,0,0,0,2,1,0,0,?
441,877,0,0,0,0,0,3,0,1,0,?
441,217,0,20,0,0,0,8,1,0,0,?
439,680,0,4,0,0,0,7,0,0,0,?
427,1023,2,3,2,2,0,13,0,0,0,?
437,511,6,0,4,4,0,10,0,0,0,?
437,782,0,2,0,1,0,13,0,0,0,?
436,1094,0,7,0,0,0,5,0,0,0,?
434,1957,0,0,0,1,0,5,0,0,0,?
434,747,1,5,0,1,0,14,0,1,0,?
434,427,0,0,0,1,0,3,1,0,0,?
433,1520,1,1,2,0,0,8,2,0,0,?
439,1191,1,2,0,0,0,6,1,0,0,?
431,295,2,5,1,0,0,11,0,0,0,?
430,287,2,7,1,0,0,11,0,0,0,?
437,1922,3,0,5,0,0,14,0,0,0,?
431,906,4,5,3,2,1,12,0,2,0,?
429,1004,2,4,2,0,0,12,0,0,1,?
429,686,0,3,0,0,0,6,0,0,0,?
437,1324,0,0,0,0,0,11,0,1,0,?
430,426,0,4,0,1,0,1,0,0,0,?
424,303,2,6,1,0,0,11,0,0,0,?
424,307,2,7,1,0,0,12,0,0,0,?
424,852,1,0,1,1,0,12,1,0,0,?
424,403,0,8,0,0,0,16,0,1,0,?
423,303,2,6,1,0,0,11,0,0,0,?
422,97,0,5,0,1,0,7,0,0,0,?
422,1099,2,6,2,1,0,9,0,1,0,?
422,1904,0,13,0,0,0,7,0,0,0,?
420,31,0,5,0,0,0,3,0,0,0,?
420,1993,2,0,1,2,0,9,1,0,0,?
420,1990,3,3,2,0,0,12,0,3,0,?
419,55,1,4,0,0,0,8,0,1,0,?
417,814,0,7,0,0,0,7,0,2,0,?
416,1406,0,2,0,2,0,6,0,1,0,?
416,670,0,5,0,0,0,5,0,2,0,?
415,1998,0,0,0,4,0,8,0,1,0,?
415,574,0,5,0,0,0,7,1,3,0,?
414,325,2,6,1,0,0,12,0,0,0,?
414,1752,0,5,0,0,0,8,0,0,0,?
413,303,2,6,1,0,0,13,0,0,0,?
415,78,1,0,0,1,1,6,0,0,0,?
410,116,3,1,1,0,0,8,0,0,0,?
408,73,1,1,1,0,0,5,0,0,0,?
407,188,0,6,0,1,0,8,0,0,0,?
406,1233,1,8,0,1,0,14,0,0,0,?
406,1538,0,0,1,0,0,5,1,0,0,?
404,270,2,5,1,0,0,11,0,0,0,?
404,1321,1,0,1,1,0,12,0,0,0,?
404,1132,3,0,2,1,0,8,0,1,0,?
402,590,1,4,0,2,0,5,0,0,0,?
400,641,2,2,2,1,0,4,1,0,0,?
403,1628,0,4,0,0,0,8,0,0,0,?
389,683,3,5,1,0,0,10,2,0,1,?
401,558,1,5,0,0,0,3,1,0,0,?
401,604,1,2,0,0,1,13,1,1,0,?
400,407,2,3,1,1,0,6,0,1,0,?
400,1989,0,0,0,1,0,8,0,1,0,?
401,146,0,11,0,0,0,1,0,1,0,?
404,1639,0,4,0,0,0,5,1,0,1,?
399,415,3,2,2,0,0,10,0,1,0,?
396,1308,1,1,2,1,0,13,1,0,0,?
398,1995,1,0,1,2,0,7,0,1,0,?
381,708,0,8,0,0,0,5,0,0,0,?
398,401,1,2,0,4,0,11,0,0,0,?
397,1083,4,2,3,2,0,15,0,0,0,?
396,1892,0,3,0,0,0,11,0,2,0,?
396,213,0,8,0,0,0,3,1,1,0,?
393,167,0,1,0,1,0,3,0,0,0,?
395,146,0,7,0,0,0,1,1,0,1,?
395,1599,1,2,1,1,0,9,1,1,0,?
394,193,0,5,0,1,0,5,2,0,0,?
393,408,1,2,1,2,0,14,2,0,0,?
392,380,1,2,0,0,0,4,1,1,1,?
390,1037,1,2,0,0,0,14,0,2,0,?
395,328,2,6,1,0,0,12,0,0,0,?
392,1996,0,25,0,0,0,9,1,0,0,?
390,1784,0,0,0,2,1,20,0,1,0,?
391,343,0,13,0,0,0,4,0,1,0,?
392,120,3,3,1,2,0,8,0,0,0,?
389,1940,1,6,0,1,0,11,0,2,0,?
388,1024,0,24,0,0,0,7,0,1,0,?
